"","site","island","species","species_code","n","length_mean","length_se","g_frac_mean","g_frac_median","g_frac_se","br_mean","br_median","br_se","fr_mean","fr_median","fr_se","for_dur_mean","for_dur_median","for_dur_se","for_bites_mean","for_bites_median","for_bites_se","int_tot_mean","int_tot_median","int_tot_se","int_scar_mean","int_scar_median","int_scar_se","int_con_mean","int_con_median","int_con_se","int_hetscar_mean","int_hetscar_median","int_hetscar_se","int_dam_mean","int_dam_median","int_dam_se","tot_bm","tot_bm_se","tot_den","tot_den_se","tot_l","tot_l_se","herb_bm","herb_bm_se","herb_den","herb_den_se","herb_l","herb_l_se","acan_bm","acan_bm_se","acan_den","acan_den_se","acan_l","acan_l_se","scar_bm","scar_bm_se","scar_den","scar_den_se","scar_l","scar_l_se","vir_bm","vir_bm_se","vir_den","vir_den_se","vir_l","vir_l_se","vet_bm","vet_bm_se","vet_den","vet_den_se","vet_l","vet_l_se","aur_bm","aur_bm_se","aur_den","aur_den_se","aur_l","aur_l_se","juv_bm","juv_bm_se","juv_den","juv_den_se","juv_l","juv_l_se","init_bm","init_bm_se","init_den","init_den_se","init_l","init_l_se","term_bm","term_bm_se","term_den","term_den_se","term_l","term_l_se","carn_bm","carn_bm_se","carn_den","carn_den_se","carn_l","carn_l_se","carn30_bm","carn30_bm_se","carn30_den","carn30_den_se","carn30_l","carn30_l_se","cca_cover","cca_cover_se","lc_cover","lc_cover_se","ma_cover","ma_cover_se","ma_canopy","ma_canopy_se","ta_cover","ta_cover_se","ta_canopy","ta_canopy_se","rugosity","rugosity_se","ma_ind","ta_ind","spear_daily","spear_binary","diving","consp_bm","consp_bm_se","consp_den","consp_den_se","consp_l","consp_l_se"
"1","18th Palm","Bonaire","Scarus vetula","qup",27,24.8888888888889,0.757363347585495,0.524382716296296,0.508333334,0.0429271034904044,0.937882120895839,0.885057471264368,0.0740035823183695,26.3888888888889,26,1.95358049057196,20.1981481481481,16.25,3.95400073612176,16.9456790123457,13.75,2.59887074494552,1.59259259259259,1,0.246105038951501,0.444444444444444,0,0.123266710272273,0.407407407407407,0,0.122407698341543,0,0,0,1.14814814814815,1,0.224583842450329,6581.44515970012,1251.51355747292,115.595238095238,20.202115542962,11.6812183427053,1.25786640577897,3726.79127174964,1191.91232527091,32.0238095238095,11.3983562220779,16.7772959721523,0.916873499760405,1426.14214194167,1174.83205027551,15,11.8383065784555,14.4410540915395,0.487838981249729,2300.64912980798,171.005838897422,17.0238095238095,1.8621219375635,17.5351291191139,1.14704574120562,770.768011973691,122.792484810236,2.85714285714286,0.652050663696626,23.7333333333333,1.13340335918118,745.463377369048,123.743821909249,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345,143.95103632119,37.8016446470664,2.26190476190476,0.595238095238095,15.5,0.961562881252794,13.1665324055952,5.45286894041756,2.14285714285714,1.66418465982913,7.32386363636364,1.76743516115813,651.403702897619,94.970335176938,8.45238095238095,0.898789813722708,15.5525625168482,0.517118797899933,1391.411247975,274.439044213645,5.23809523809524,1.05252279443451,23.1275793650794,0.647555612021173,1636.92167974619,294.243033361813,11.3095238095238,1.35909077694791,17.5080974925695,1.32833026757705,593.811846083333,301.61032937114,0.833333333333333,0.445435403187374,33.3125,0.623957463827997,7.6,3.42,44.6,2.73,5.4,0.9,2.75,0.85,34.3,2.34,1.75,0.25,1.77,0.1,14.85,60.025,0,"No","High",745.463377369048,123.743821909249,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345
"2","18th Palm","Bonaire","Sparisoma viride","stop",25,25.32,0.715821206726931,0.5683333334,0.625,0.0531594387071328,0.413030733597026,0.346666666666667,0.0419682421403634,11.58,11,0.996109097103994,33.49,28,5.25448327092631,10.9386666666667,8,1.4596269564008,1.24,1,0.24,0.2,0,0.0816496580927726,0,0,0,0.04,0,0.04,1.04,1,0.227156333832011,6581.44515970012,1251.51355747292,115.595238095238,20.202115542962,11.6812183427053,1.25786640577897,3726.79127174964,1191.91232527091,32.0238095238095,11.3983562220779,16.7772959721523,0.916873499760405,1426.14214194167,1174.83205027551,15,11.8383065784555,14.4410540915395,0.487838981249729,2300.64912980798,171.005838897422,17.0238095238095,1.8621219375635,17.5351291191139,1.14704574120562,770.768011973691,122.792484810236,2.85714285714286,0.652050663696626,23.7333333333333,1.13340335918118,745.463377369048,123.743821909249,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345,143.95103632119,37.8016446470664,2.26190476190476,0.595238095238095,15.5,0.961562881252794,13.1665324055952,5.45286894041756,2.14285714285714,1.66418465982913,7.32386363636364,1.76743516115813,651.403702897619,94.970335176938,8.45238095238095,0.898789813722708,15.5525625168482,0.517118797899933,1391.411247975,274.439044213645,5.23809523809524,1.05252279443451,23.1275793650794,0.647555612021173,1636.92167974619,294.243033361813,11.3095238095238,1.35909077694791,17.5080974925695,1.32833026757705,593.811846083333,301.61032937114,0.833333333333333,0.445435403187374,33.3125,0.623957463827997,7.6,3.42,44.6,2.73,5.4,0.9,2.75,0.85,34.3,2.34,1.75,0.25,1.77,0.1,14.85,60.025,0,"No","High",770.768011973691,122.792484810236,2.85714285714286,0.652050663696626,23.7333333333333,1.13340335918118
"3","Front Porch","Bonaire","Scarus vetula","qup",22,24.3181818181818,0.798771685914082,0.435984848409091,0.458333333,0.0480167843388199,0.745021403136922,0.830769230769231,0.066446161477962,21.7954545454545,24,2.72805273838467,21.4641666666667,15.8,3.95863064861757,16.9291666666667,11.625,2.65401676533824,1.63636363636364,1,0.29823038354372,0.318181818181818,0,0.121076764250623,0.272727272727273,0,0.117363131703255,0,0,0,1.13636363636364,1,0.200599259638055,10867.7265104417,2291.89424450388,146.666666666667,56.1939020680147,15.2257537999666,1.87656220794801,4855.0283130125,450.619106268617,19.7916666666667,3.06894163805338,23.003204812429,1.22657725657159,187.2787667375,95.3667513510504,1.45833333333333,0.625,18.2222222222222,0.968644209675705,4667.749546275,424.591151119977,18.3333333333333,2.65710089857069,23.2579966329966,1.12729937902766,3262.71035914167,141.143534385755,13.125,1.33398421613184,22.9880421865716,0.635935131380045,824.2219149375,307.816990348097,1.25,0.416666666666667,31.1666666666667,4.09267638593623,196.38873385625,77.1308138725735,1.45833333333333,0.524294058004913,19.8888888888889,0.484322104837853,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,3906.14898052708,1935.11545725917,28.75,14.2339090437823,18.5877416756176,1.01524308611032,1115.11073366667,512.580028993007,1.45833333333333,0.711593803191639,34.6666666666667,1.96497102042527,6.7,1.2,44.9,3.99,0.88,0.36,5.75,3.25,32.1,2.43,1.63,0.24,1.9,0.1,5.06,52.323,0,"No","High",824.2219149375,307.816990348097,1.25,0.416666666666667,31.1666666666667,4.09267638593623
"4","Front Porch","Bonaire","Sparisoma viride","stop",26,24.4230769230769,0.758892060680116,0.394230769153846,0.4166666665,0.0568131012049336,0.319240122563343,0.312179739850217,0.0375432929612859,7.96153846153846,8.75,1.08270426281144,24.2219696969697,16.2666666666667,4.8815125755026,7.89469696969697,6.66666666666667,1.4234654735465,1.42307692307692,1,0.255240923431339,0.461538461538462,0,0.149159380228195,0.461538461538462,0,0.149159380228195,0,0,0,0.5,0,0.114354374979373,10867.7265104417,2291.89424450388,146.666666666667,56.1939020680147,15.2257537999666,1.87656220794801,4855.0283130125,450.619106268617,19.7916666666667,3.06894163805338,23.003204812429,1.22657725657159,187.2787667375,95.3667513510504,1.45833333333333,0.625,18.2222222222222,0.968644209675705,4667.749546275,424.591151119977,18.3333333333333,2.65710089857069,23.2579966329966,1.12729937902766,3262.71035914167,141.143534385755,13.125,1.33398421613184,22.9880421865716,0.635935131380045,824.2219149375,307.816990348097,1.25,0.416666666666667,31.1666666666667,4.09267638593623,196.38873385625,77.1308138725735,1.45833333333333,0.524294058004913,19.8888888888889,0.484322104837853,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,3906.14898052708,1935.11545725917,28.75,14.2339090437823,18.5877416756176,1.01524308611032,1115.11073366667,512.580028993007,1.45833333333333,0.711593803191639,34.6666666666667,1.96497102042527,6.7,1.2,44.9,3.99,0.88,0.36,5.75,3.25,32.1,2.43,1.63,0.24,1.9,0.1,5.06,52.323,0,"No","High",3262.71035914167,141.143534385755,13.125,1.33398421613184,22.9880421865716,0.635935131380045
"5","Karpata","Bonaire","Scarus vetula","qup",36,24.3333333333333,0.51946248164932,0.505787036888889,0.512499999,0.020955513269014,0.879704615028223,0.879024390243902,0.0275592022427306,26.6388888888889,25.25,1.35863071695148,15.5897486772487,13,1.29292344165543,13.6637896825397,12.6,1.13781070956909,1.75,2,0.188456554717189,0.611111111111111,0,0.127726007455802,0.333333333333333,0,0.0890870806374748,0.111111111111111,0,0.053121271525973,1.13888888888889,1,0.178853392909396,3563.21519010167,332.61672599109,123.333333333333,10.8987645530615,8.81954688382575,0.339991316496061,2160.76159756,203.5542269491,27.7380952380952,2.45134050975881,13.0632293300354,0.536870395528284,77.3225299714286,24.5286314184627,1.07142857142857,0.350466701044756,13.8,0.644204936336256,2083.43906758857,206.538081961175,26.6666666666667,2.5588315785958,13.0639626383469,0.543215043423179,510.486040499167,135.716632455261,4.04761904761905,0.934858649951567,13.9326530612245,1.31171263313698,771.542305003572,123.378822291888,2.97619047619048,0.509731451534331,23.2857142857143,0.967367210384914,226.022552453333,32.7251216111708,3.21428571428571,0.614759261302765,16.047619047619,0.648272312909909,54.8029190640476,15.6984744047233,9.52380952380952,2.19620541301932,5.75936008436008,0.592008770964869,775.98807687381,174.030243241928,10.5952380952381,2.3898642737958,15.2427734170591,0.562399085765687,1164.58861378214,179.937176223591,4.88095238095238,0.527941853001987,22.9126984126984,0.649380967706515,693.086241463095,158.808112068183,6.66666666666667,1.06034835046725,16.3082199546485,0.376531282240294,91.5382642619048,91.5382642619048,0.119047619047619,0.119047619047619,35,NA,7.6,0.78,59.8,3.5,7.91,2.52,11.25,3.15,21,2.67,1.63,0.24,1.97,0.11,88.9875,34.23,0,"No","High",771.542305003572,123.378822291888,2.97619047619048,0.509731451534331,23.2857142857143,0.967367210384914
"6","Karpata","Bonaire","Sparisoma viride","stop",25,24.96,0.821543263214624,0.45633333316,0.500000001,0.0507587795762759,0.325287290953411,0.315789473684211,0.0217393305189304,8.8,10,0.941629792788369,18.7506944444444,15.125,2.52628815932172,5.82986111111111,5.26666666666667,0.646862348375272,1.4,1,0.251661147842358,0.16,0,0.0748331477354788,0.16,0,0.0748331477354788,0,0,0,1.12,1,0.210713075057055,3563.21519010167,332.61672599109,123.333333333333,10.8987645530615,8.81954688382575,0.339991316496061,2160.76159756,203.5542269491,27.7380952380952,2.45134050975881,13.0632293300354,0.536870395528284,77.3225299714286,24.5286314184627,1.07142857142857,0.350466701044756,13.8,0.644204936336256,2083.43906758857,206.538081961175,26.6666666666667,2.5588315785958,13.0639626383469,0.543215043423179,510.486040499167,135.716632455261,4.04761904761905,0.934858649951567,13.9326530612245,1.31171263313698,771.542305003572,123.378822291888,2.97619047619048,0.509731451534331,23.2857142857143,0.967367210384914,226.022552453333,32.7251216111708,3.21428571428571,0.614759261302765,16.047619047619,0.648272312909909,54.8029190640476,15.6984744047233,9.52380952380952,2.19620541301932,5.75936008436008,0.592008770964869,775.98807687381,174.030243241928,10.5952380952381,2.3898642737958,15.2427734170591,0.562399085765687,1164.58861378214,179.937176223591,4.88095238095238,0.527941853001987,22.9126984126984,0.649380967706515,693.086241463095,158.808112068183,6.66666666666667,1.06034835046725,16.3082199546485,0.376531282240294,91.5382642619048,91.5382642619048,0.119047619047619,0.119047619047619,35,NA,7.6,0.78,59.8,3.5,7.91,2.52,11.25,3.15,21,2.67,1.63,0.24,1.97,0.11,88.9875,34.23,0,"No","High",510.486040499167,135.716632455261,4.04761904761905,0.934858649951567,13.9326530612245,1.31171263313698
"7","Mermaid Gardens","Antigua","Scarus vetula","qup",13,24.6153846153846,1.19044519542632,0.235256410230769,0.216666666,0.0399446938576535,0.897890013664901,0.884615384615385,0.0584664883628895,12.7307692307692,11.5,2.33741542052889,6.71794871794872,5.33333333333333,1.14449391261822,6.01025641025641,5,1.09674073357671,0.384615384615385,0,0.310880914179029,0.230769230769231,0,0.230769230769231,0.230769230769231,0,0.230769230769231,0,0,0,0.0769230769230769,0,0.0769230769230769,6238.10703939533,924.27132498525,201.833333333333,31.6034456630567,8.33039518750726,1.27315438952447,3601.91464942383,651.530140813953,36,2.39211668240122,15.2920401069519,0.954730670230137,1771.14945921,244.034116397937,21.6666666666667,2.87469805177672,15.245308025308,0.359955438133172,1830.76519021383,481.163155832029,14.3333333333333,2.34816713393423,16.2445670995671,1.79601413744975,554.502668702333,276.693483124522,4,1.09924216318941,14.4111111111111,3.86251373404406,590.686538833333,160.508157261566,2.5,0.697216688778396,22.7208333333333,0.896582374187505,147.0481393685,33.9552332402239,3.66666666666667,0.726483157256779,10.4180952380952,0.935309375617455,6.05344558716667,5.04521210750055,3.66666666666667,1.43372087784044,3.41818181818182,0.524286212919862,1452.79427727667,399.282339828988,8.66666666666667,1.67912013996749,19.7342063492063,1.23617009464614,371.91746735,109.229843804461,2,0.623609564462324,20.7266666666667,2.89908797919468,614.978202672,125.634975470939,6.16666666666667,1.07367489389376,17.349494949495,0.694076854043151,0,0,0,0,NA,NA,1.8,0.8,10.8222222222222,2.72813416997455,15.4944444444444,4.02638290022934,13.5396428571429,1.11005511114234,60.8277777777778,4.70392205675747,3.44853968253968,0.233380904137365,1.3552,0.077945750365238,209.789244047619,209.767005467372,1,"Yes","Med",590.686538833333,160.508157261566,2.5,0.697216688778396,22.7208333333333,0.896582374187505
"8","Mermaid Gardens","Antigua","Sparisoma aurofrenatum","rbp",17,21.0588235294118,0.70434882440165,0.236764705588235,0.224999999,0.041550443435439,0.604786323195554,0.5,0.0545198266308364,7.05882352941176,6,0.884800526852431,7.22002801120448,4.75,1.76188439284851,3.59397759103641,2.75,0.737004850975966,1,1,0.257247877713763,0.294117647058824,0,0.142578819335774,0.294117647058824,0,0.142578819335774,0,0,0,0.235294117647059,0,0.106045625748941,6238.10703939533,924.27132498525,201.833333333333,31.6034456630567,8.33039518750726,1.27315438952447,3601.91464942383,651.530140813953,36,2.39211668240122,15.2920401069519,0.954730670230137,1771.14945921,244.034116397937,21.6666666666667,2.87469805177672,15.245308025308,0.359955438133172,1830.76519021383,481.163155832029,14.3333333333333,2.34816713393423,16.2445670995671,1.79601413744975,554.502668702333,276.693483124522,4,1.09924216318941,14.4111111111111,3.86251373404406,590.686538833333,160.508157261566,2.5,0.697216688778396,22.7208333333333,0.896582374187505,147.0481393685,33.9552332402239,3.66666666666667,0.726483157256779,10.4180952380952,0.935309375617455,6.05344558716667,5.04521210750055,3.66666666666667,1.43372087784044,3.41818181818182,0.524286212919862,1452.79427727667,399.282339828988,8.66666666666667,1.67912013996749,19.7342063492063,1.23617009464614,371.91746735,109.229843804461,2,0.623609564462324,20.7266666666667,2.89908797919468,614.978202672,125.634975470939,6.16666666666667,1.07367489389376,17.349494949495,0.694076854043151,0,0,0,0,NA,NA,1.8,0.8,10.8222222222222,2.72813416997455,15.4944444444444,4.02638290022934,13.5396428571429,1.11005511114234,60.8277777777778,4.70392205675747,3.44853968253968,0.233380904137365,1.3552,0.077945750365238,209.789244047619,209.767005467372,1,"Yes","Med",147.0481393685,33.9552332402239,3.66666666666667,0.726483157256779,10.4180952380952,0.935309375617455
"9","Mermaid Gardens","Antigua","Sparisoma viride","stop",13,26.9230769230769,0.63510082443594,0.160897435692308,0.091666667,0.0642135790444062,0.418086145239699,0.483870967741935,0.0956182569877996,4.07692307692308,3.5,1.18056667434916,9.75925925925926,5.33333333333333,2.78521174054974,4.48148148148148,3.25,1.0247196939125,0.153846153846154,0,0.104154338520974,0,0,0,0,0,0,0,0,0,0,0,0,6238.10703939533,924.27132498525,201.833333333333,31.6034456630567,8.33039518750726,1.27315438952447,3601.91464942383,651.530140813953,36,2.39211668240122,15.2920401069519,0.954730670230137,1771.14945921,244.034116397937,21.6666666666667,2.87469805177672,15.245308025308,0.359955438133172,1830.76519021383,481.163155832029,14.3333333333333,2.34816713393423,16.2445670995671,1.79601413744975,554.502668702333,276.693483124522,4,1.09924216318941,14.4111111111111,3.86251373404406,590.686538833333,160.508157261566,2.5,0.697216688778396,22.7208333333333,0.896582374187505,147.0481393685,33.9552332402239,3.66666666666667,0.726483157256779,10.4180952380952,0.935309375617455,6.05344558716667,5.04521210750055,3.66666666666667,1.43372087784044,3.41818181818182,0.524286212919862,1452.79427727667,399.282339828988,8.66666666666667,1.67912013996749,19.7342063492063,1.23617009464614,371.91746735,109.229843804461,2,0.623609564462324,20.7266666666667,2.89908797919468,614.978202672,125.634975470939,6.16666666666667,1.07367489389376,17.349494949495,0.694076854043151,0,0,0,0,NA,NA,1.8,0.8,10.8222222222222,2.72813416997455,15.4944444444444,4.02638290022934,13.5396428571429,1.11005511114234,60.8277777777778,4.70392205675747,3.44853968253968,0.233380904137365,1.3552,0.077945750365238,209.789244047619,209.767005467372,1,"Yes","Med",554.502668702333,276.693483124522,4,1.09924216318941,14.4111111111111,3.86251373404406
"10","Oil Slick","Bonaire","Scarus vetula","qup",32,24.53125,0.505981111387219,0.54244791671875,0.5416666665,0.0283224584113421,0.862595730486895,0.853004713275727,0.0397967281973141,27.90625,26.5,1.88404237622279,18.5615327380952,16.8333333333333,1.71804565221968,15.6878720238095,12.85,1.97823588509934,1.6875,1,0.235196811888641,0.53125,0,0.179517582704313,0.4375,0,0.173539411717785,0,0,0,1.09375,1,0.212319064336308,6258.73653074214,634.273934920911,142.5,32.0620677822905,11.3387605283267,0.937671944293124,3371.96220564964,329.601374547246,18.9285714285714,1.98134725917777,18.9821884464742,0.656329997743847,125.218292659524,31.4337174646575,1.78571428571429,0.382684554007657,14.0595238095238,0.477231006019701,3246.74391299012,347.045295218963,17.1428571428571,1.8621219375635,19.4358374848765,0.690833375229716,871.3106544,274.304235598073,3.45238095238095,0.423693581429814,20.8714285714286,2.05421464506806,1407.0352662131,183.588926397224,3.92857142857143,0.595238095238095,25.1690476190476,1.60930013943189,309.597093770952,60.2256086950436,3.0952380952381,0.673435029701474,17.5714285714286,0.917998414179117,22.064818040119,12.8747215002338,1.07142857142857,0.51434449987364,9.6,0.678232998312527,1239.05220245595,130.18191839389,10.2380952380952,1.51834337061183,17.1952928024357,0.581970675975432,1971.92465083929,269.237947468964,5.5952380952381,0.786675698476151,25.6137703566275,0.284697514940458,1570.18954922619,346.878796640587,18.5714285714286,5.98364803775741,17.5146740477568,0.806546073812164,216.266427559524,107.116658836716,0.357142857142857,0.168358757425368,33,1.52752523165195,9.8,1.91,46.7,7.64,9.02,2.41,13.75,3.75,25.6,4.1,1.38,0.24,1.68,0.07,124.025,35.328,0,"No","High",1407.0352662131,183.588926397224,3.92857142857143,0.595238095238095,25.1690476190476,1.60930013943189
